CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
41659848,LA BRISA DEL CIBAO,Queens,3779,103 STREET,11368,7182054941,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",1/30/2018,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Y,20,,,4/12/2020,Cycle Inspection / Initial Inspection,40.75274308,-73.86416659,403,21,40500,4044323,4017690064,QN26
40961447,MESON SEVILLA RESTAURANT,Manhattan,344,WEST   46 STREET,10036,2122625890,Spanish,3/19/2019,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,50,,,4/12/2020,Cycle Inspection / Initial Inspection,40.76033538,-73.98924659,104,3,12100,1025022,1010360051,MN15
50063071,WA BAR,Manhattan,28,WEST   32 STREET,10001,2127142266,Korean,5/23/2018,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Y,15,,,4/12/2020,Cycle Inspection / Initial Inspection,40.74772296,-73.98687749,105,4,7600,1015829,1008330060,MN17
50034992,EMPANADAS MONUMENTAL,Manhattan,550,WEST  181 STREET,10033,6469645773,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",6/21/2019,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Y,17,B,6/21/2019,4/12/2020,Cycle Inspection / Re-inspection,40.84892215,-73.93281609,112,10,26900,1081874,1021530072,MN35
50095871,ALPHONSO'S PIZZERIA & TRATTORIA,Manhattan,525A,GRAND STREET,10002,2124773367,Italian,1/16/2020,Violations were cited in the following area(s).,04J,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",Y,10,A,1/16/2020,4/12/2020,Cycle Inspection / Initial Inspection,40.71455731,-73.98202868,103,1,202,,1,MN28
41104041,THE SPARROW TAVERN,Queens,2401,29 STREET,11102,7186062260,American,9/17/2019,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Y,13,A,9/17/2019,4/12/2020,Cycle Inspection / Initial Inspection,40.77287102,-73.9165054,401,22,12500,4017438,4008400042,QN72
50016937,BURGER KING,Queens,10502,ROCKAWAY BLVD,11417,7188481573,American,9/14/2018,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilityâ€™s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Y,12,A,9/14/2018,4/12/2020,Cycle Inspection / Re-inspection,40.67880033,-73.83396104,410,32,86400,4247758,4114800051,QN55
50066469,DARBAR'S CHICKEN & RIBS,Queens,12609,LIBERTY AVE,11419,7185294900,American,8/7/2017,Establishment re-closed by DOHMH,04M,Live roaches present in facility's food and/or non-food areas.,Y,11,,,4/12/2020,Pre-permit (Operational) / Reopening Inspection,40.68858339,-73.81812134,410,28,15802,4203952,4095630025,QN55
41195691,F & J PINE RESTAURANT,Bronx,1913,BRONXDALE AVENUE,10462,7187925956,Italian,5/2/2019,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,N,26,,,4/12/2020,Cycle Inspection / Initial Inspection,40.84894409,-73.86206089,211,13,24600,2048074,2042630015,BX49
50015706,EL RINCONCITO DE LOS SABORES,Queens,13933,89TH AVE,11435,3474889294,Mexican,12/18/2019,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Y,20,,,4/12/2020,Cycle Inspection / Initial Inspection,40.70269152,-73.81297935,412,24,21400,4206878,4096830019,QN35
50038736,DON NICO'S,Queens,9014,161ST ST,11432,7182976426,Mexican,3/29/2018,Violations were cited in the following area(s).,09B,Thawing procedures improper.,N,18,,,4/12/2020,Cycle Inspection / Initial Inspection,40.70518805,-73.79927388,412,24,44601,4594411,4097577501,QN61
50033304,ASTORIA PIZZA,Queens,3204B,30TH AVE,11102,7185451313,Pizza,12/18/2019,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Y,16,B,12/18/2019,4/12/2020,Cycle Inspection / Re-inspection,40.76644011,-73.92044847,401,22,6300,,4,QN70
